Work_ID,Vendor_Name,Constituency,duplicate_risk_score,nearest_duplicate_work_id,nearest_similarity,duplicate_checked
WS/MP18153/2024-2025/141986,The Sidhu Kirat te Usari Sehkari Sabha ltd,FIROZPUR,37.69892883300781,WS/MP18153/2024-2025/141977,0.8990086317062378,True
WS/MP18153/2024-2025/141987,The Sidhu Kirat te Usari Sehkari Sabha ltd,FIROZPUR,56.62831115722656,WS/MP18153/2024-2025/141981,0.9236168265342712,True
WS/MP18153/2024-2025/141988,The Gill Sehkari Kirat te Ussari Sabha Ltd,FIROZPUR,21.77577781677246,WS/MP18153/2024-2025/141981,0.8783085346221924,True
WS/MP18153/2024-2025/141989,The Sidhu Kirat te Usari Sehkari Sabha ltd,FIROZPUR,32.46554946899414,WS/MP18153/2024-2025/141977,0.8922052383422852,True
WS/MP18153/2024-2025/141990,The Gill Sehkari Kirat te Ussari Sabha Ltd,FIROZPUR,0.0,WS/MP18322/2025-2026/193309,0.2907741665840149,True
WS/MP18153/2024-2025/141991,The Gill Sehkari Kirat te Ussari Sabha Ltd,FIROZPUR,0.0,WS/MP18210/2024-2025/176159,0.31096145510673523,True
WS/MP18153/2024-2025/141992,The Sidhu Kirat te Usari Sehkari Sabha ltd,FIROZPUR,0.0,WS/MP18153/2024-2025/141996,0.799842119216919,True
WS/MP18153/2024-2025/141993,The Gill Sehkari Kirat te Ussari Sabha Ltd,FIROZPUR,0.0,,0.0,False
WS/MP18153/2024-2025/141994,The Sidhu Kirat te Usari Sehkari Sabha ltd,FIROZPUR,0.0,,0.0,False
WS/MP18153/2024-2025/141995,The Gill Sehkari Kirat te Ussari Sabha Ltd,FIROZPUR,0.0,WS/MP720/2024-2025/142128,0.32056158781051636,True
WS/MP18153/2024-2025/141996,The Gill Sehkari Kirat te Ussari Sabha Ltd,FIROZPUR,0.0,WS/MP18153/2024-2025/141992,0.799842119216919,True
WS/MP18339/2024-2025/141998,Ms Surya Narain Mishra,KAISERGANJ,0.0,WS/MP18339/2024-2025/141999,0.8347652554512024,True
WS/MP18339/2024-2025/141999,SRIJAN CONSTRUCTION,KAISERGANJ,0.0,WS/MP18339/2024-2025/142001,0.8453719019889832,True
WS/MP18339/2024-2025/142000,SRIJAN CONSTRUCTION,KAISERGANJ,31.66588592529297,WS/MP18339/2024-2025/142003,0.8911656737327576,True
WS/MP18339/2024-2025/142001,SRIJAN CONSTRUCTION,KAISERGANJ,0.0,WS/MP18339/2024-2025/142000,0.8477510213851929,True
WS/MP18339/2024-2025/142002,SRIJAN CONSTRUCTION,KAISERGANJ,5.531540393829346,WS/MP18339/2024-2025/142000,0.8571910262107849,True
WS/MP18339/2024-2025/142003,SRIJAN CONSTRUCTION,KAISERGANJ,31.66588592529297,WS/MP18339/2024-2025/142000,0.8911656737327576,True
WS/MP18339/2024-2025/142004,SRIJAN CONSTRUCTION,KAISERGANJ,1.282279372215271,WS/MP18339/2024-2025/142002,0.8516669869422913,True
WS/MP18339/2024-2025/142005,SRIJAN CONSTRUCTION,KAISERGANJ,0.0,WS/MP18339/2024-2025/142002,0.8204262256622314,True
WS/MP18339/2024-2025/142006,SRIJAN CONSTRUCTION,KAISERGANJ,0.0,WS/MP18339/2024-2025/141998,0.7977611422538757,True
WS/MP18238/2024-2025/142011,Priyanka yadau,SALEMPUR,0.0,WS/MP319/2025-2026/220675,0.6360515356063843,True
WS/MP18238/2024-2025/142012,Priyanka yadau,SALEMPUR,60.50334548950195,WS/MP18238/2024-2025/142157,0.9286543726921082,True
WS/MP18238/2024-2025/142016,Priyanka yadau,SALEMPUR,9.62454605102539,WS/MP18238/2024-2025/142151,0.862511932849884,True
WS/MP18238/2024-2025/142017,Priyanka yadau,SALEMPUR,0.0,WS/MP18238/2024-2025/142152,0.8486109375953674,True
