"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"5870","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18286/2025-2026/202716","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","25-Sep-2025","Sunjiba majur sahkari sanstha maryadit","Payment Success","998289"
"5871","Maharashtra","Providing drains and gutters for public drainage","WS/MP18286/2025-2026/202717","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","25-Sep-2025","Sunjiba majur sahkari sanstha maryadit","Payment Success","998288"
"5872","Maharashtra","Providing drains and gutters for public drainage","WS/MP18286/2025-2026/192198","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","25-Sep-2025","Sunjiba majur sahkari sanstha maryadit","Payment Success","995722"
"5873","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18286/2025-2026/234315","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","01-Feb-2026","Sunjiba majur sahkari sanstha maryadit","Payment Success","938782"
"5874","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18286/2025-2026/234315","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","05-Feb-2026","Sunjiba majur sahkari sanstha maryadit","Payment Success","56421"
"5875","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18286/2025-2026/192203","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","01-Feb-2026","Sunjiba majur sahkari sanstha maryadit","Payment Success","939230"
"5876","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18286/2025-2026/192203","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","05-Feb-2026","Sunjiba majur sahkari sanstha maryadit","Payment Success","56447"
"5877","Maharashtra","Installation of fixed garden gym equipment","WS/MP18286/2025-2026/214097","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","23-Feb-2026","Sunjiba majur sahkari sanstha maryadit","Payment Success","999965"
"5878","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/176578","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Sep-2025","RAKESH SINGH","Payment Success","12600"
"5879","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/176578","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Sep-2025","DARMIYAN SINGH","Payment Success","12600"
"5880","Rajasthan","Construction of rainwater harvesting structures","WS/MP18285/2025-2026/205760","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","04-Sep-2025","VAKALIYA CONSTRUCTION","Payment Success","745064"
"5881","Rajasthan","Construction of rainwater harvesting structures","WS/MP18285/2025-2026/205760","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","20-May-2026","VAKALIYA CONSTRUCTION","Payment Success","744866"
"5882","Rajasthan","Construction of rainwater harvesting structures","WS/MP18285/2025-2026/205762","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","04-Sep-2025","VAKALIYA CONSTRUCTION","Payment Success","749982"
"5883","Rajasthan","Construction of rainwater harvesting structures","WS/MP18285/2025-2026/205762","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","20-May-2026","VAKALIYA CONSTRUCTION","Payment Success","739038"
"5884","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/176578","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Sep-2025","RAJPAL","Payment Success","12600"
"5885","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/176578","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Sep-2025","USHA DEVI","Payment Success","12600"
"5886","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/176578","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Sep-2025","HARISH","Payment Success","12600"
"5887","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/176578","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Sep-2025","BHAVANI","Payment Success","12600"
"5888","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/176578","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Sep-2025","SANGEETA DEVI","Payment Success","12600"
"5889","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/176578","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Sep-2025","PREM SINGH","Payment Success","12600"
"5890","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/176578","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Sep-2025","ANAND SINGH RAWAT","Payment Success","12600"
"5891","Rajasthan","Construction of rainwater harvesting structures","WS/MP18285/2025-2026/205774","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","03-Sep-2025","GUNJAN  MATERIAL","Payment Success","744844"
"5892","Rajasthan","Construction of rainwater harvesting structures","WS/MP18285/2025-2026/205774","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","30-Jun-2026","GUNJAN  MATERIAL","Payment Success","735656"
