"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1452","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2025-2026/247693","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","21-May-2026","OSHARI TRADERS","Payment Success","172056"
"1453","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2025-2026/247693","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","21-May-2026","OSHARI TRADERS","Payment Success","159140"
"1454","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP889/2025-2026/162279","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","19-Jun-2026","HYGGE INFRASTRUCTURE","Payment Success","499500"
"1455","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/260938","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","11-Jul-2026","JSK Industries","Payment Success","300000"
"1456","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/260935","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","29-May-2026","JSK Industries","Payment Success","300000"
"1457","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260909","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","25-May-2026","JSK Industries","Payment Success","300000"
"1458","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260908","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","25-May-2026","JSK Industries","Payment Success","300000"
"1459","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260916","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","25-May-2026","JSK Industries","Payment Success","300000"
"1460","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260910","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","25-May-2026","JSK Industries","Payment Success","300000"
"1461","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260915","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","25-May-2026","JSK Industries","Payment Success","300000"
"1462","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260914","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","25-May-2026","JSK Industries","Payment Success","300000"
"1463","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260913","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","25-May-2026","JSK Industries","Payment Success","300000"
"1464","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260912","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","25-May-2026","JSK Industries","Payment Success","300000"
"1465","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260911","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","25-May-2026","JSK Industries","Payment Success","300000"
"1466","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260917","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","25-May-2026","JSK Industries","Payment Success","300000"
"1467","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/260939","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","29-May-2026","JSK Industries","Payment Success","300000"
"1468","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/260934","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","29-May-2026","JSK Industries","Payment Success","300000"
"1469","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/260936","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","19-Jun-2026","JSK Industries","Payment Success","300000"
"1470","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/260933","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","19-Jun-2026","JSK Industries","Payment Success","300000"
"1471","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/260937","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","19-Jun-2026","JSK Industries","Payment Success","300000"
"1472","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/212591","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","25-May-2026","NAYAB RASOOL SHAIK","Payment Success","299663"
"1473","Punjab","Construction of stadiums","WS/MP141/2026-2027/267117","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","10-Jul-2026","Shivam Electric Store","Payment Success","65089"
"1474","Punjab","Construction of stadiums","WS/MP141/2026-2027/267117","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","10-Jul-2026","SETIA IRON AND PAINT STORE","Payment Success","254067"
"1475","Punjab","Construction of stadiums","WS/MP141/2026-2027/267117","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","10-Jul-2026","KITTU SPORTS","Payment Success","121317"
"1476","Punjab","Construction of stadiums","WS/MP141/2026-2027/267117","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","10-Jul-2026","AAVANA GREEN Pvt Ltd","Payment Success","199539"
"1477","Chhattisgarh","Setting up public non-conventional energy plants","WS/MP18340/2026-2027/260575","DHAMTARI(DISTRICT COLLECTOR DHAMTARI_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","27-May-2026","RAO II CSPDCL RAIPUR","Payment Success","393051"
"1478","Bihar","Construction of rooms and halls in school and colleges","WS/MP044/2026-2027/276633","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","30-Jul-2026","RAMBIHARI SINGH","Payment Success","1492794"
"1479","Kerala","Purchase of books and periodicals for libraries/digitization of library books","WS/MP101/2026-2027/207842","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","29-Jun-2026","Secretary","Payment Success","200000"
"1480","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18439/2025-2026/247394","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","21-May-2026","DHANAM CONTRACTOR","Payment Success","626130"
"1481","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18439/2025-2026/247394","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","17-Jul-2026","DHANAM CONTRACTOR","Payment Success","221917"
"1482","Kerala","Construction of rooms and halls in school and colleges","WS/MP095/2026-2027/295772","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","22-Jul-2026","MANUMOH","Payment Success","98122"
"1483","Kerala","Construction of rooms and halls in school and colleges","WS/MP095/2024-2025/133316","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","29-Jun-2026","MANUMOH","Payment Success","38839"
"1484","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP112/2026-2027/146631","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","22-Jun-2026","S T ENTERPRISES","Payment Success","2468119"
"1485","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18437/2026-2027/255773","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","21-May-2026","Anbazhagan","Payment Success","999509"
"1486","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","06-Jul-2026","SHRI KRISHNA BUILDER","Payment Success","40000"
"1487","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","06-Jul-2026","SHRI KRISHNA BUILDER","Payment Success","47250"
"1488","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","06-Jul-2026","SHRI KRISHNA BUILDER","Payment Success","48000"
"1489","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","06-Jul-2026","SHRI KRISHNA BUILDER","Payment Success","35980"
"1490","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","06-Jul-2026","SHRI KRISHNA BUILDER","Payment Success","48000"
"1491","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","06-Jul-2026","SHRI KRISHNA BUILDER","Payment Success","45556"
"1492","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","06-Jul-2026","SHRI KRISHNA BUILDER","Payment Success","44100"
"1493","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","06-Jul-2026","SHRI KRISHNA BUILDER","Payment Success","26820"
"1494","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","18-Aug-2026","SHRI KRISHNA BUILDER","Payment Success","37530"
"1495","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","18-Aug-2026","SHRI KRISHNA BUILDER","Payment Success","35000"
"1496","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","18-Aug-2026","SHRI KRISHNA BUILDER","Payment Success","40000"
"1497","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/268735","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Jun-2026","Guru Nanak Building Material","Payment Success","145000"
"1498","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/268735","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Jun-2026","Guru Nanak Building Material","Payment Success","51000"
"1499","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288249","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Jul-2026","Guru Nanak Building Material","Payment Success","82000"
"1500","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/268735","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Jun-2026","KAILASH AND SONS","Payment Success","29500"
"1501","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268733","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Jun-2026","Punjab Singh","Payment Success","74352"
"1502","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/268735","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Jun-2026","Punjab Singh","Payment Success","74352"
"1503","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/268735","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","26-Jul-2026","Punjab Singh","Payment Success","48924"
"1504","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/268735","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","26-Jul-2026","Punjab Singh","Payment Success","38912"
"1505","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/268735","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-Jun-2026","Varinder Singh","Payment Success","45000"
"1506","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268733","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-Jun-2026","Varinder Singh","Payment Success","45000"
"1507","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268733","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","26-Jul-2026","Varinder Singh","Payment Success","28166"
"1508","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268733","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Jun-2026","Guru Nanak Sales Corporation","Payment Success","235480"
"1509","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Guru Nanak Sales Corporation","Payment Success","49000"
"1510","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Guru Nanak Sales Corporation","Payment Success","49000"
"1511","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Guru Nanak Sales Corporation","Payment Success","24500"
"1512","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299126","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Guru Nanak Sales Corporation","Payment Success","245000"
"1513","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290366","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-Jul-2026","Guru Nanak Sales Corporation","Payment Success","269500"
"1514","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Jul-2026","Guru Nanak Sales Corporation","Payment Success","41650"
"1515","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Aug-2026","Guru Nanak Sales Corporation","Payment Success","49000"
"1516","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Aug-2026","Guru Nanak Sales Corporation","Payment Success","49000"
"1517","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Guru Nanak Sales Corporation","Payment Success","49000"
"1518","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Guru Nanak Sales Corporation","Payment Success","49000"
"1519","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Guru Nanak Sales Corporation","Payment Success","49000"
"1520","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/286150","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Guru Nanak Sales Corporation","Payment Success","189875"
"1521","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288250","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Jul-2026","Guru Nanak Sales Corporation","Payment Success","274400"
"1522","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/268735","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Jun-2026","Jarnail Mechanical Works","Payment Success","25000"
"1523","Chandigarh","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18365/2025-2026/267632","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","13-Jun-2026","Sat Sahib Enterprises","Payment Success","2832"
"1524","Chandigarh","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18365/2025-2026/267632","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","13-Jun-2026","Bhiwani Steel","Payment Success","200342"
"1525","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/202144","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","23-May-2026","T V Manoj","Payment Success","498725"
"1526","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2025-2026/241989","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","27-May-2026","khambhel","Payment Success","495000"
"1527","Gujarat","Construction of community centers and community halls","WS/MP891/2025-2026/219915","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","18-Jun-2026","JEDA ENTERPRISE","Payment Success","601607"
"1528","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18319/2026-2027/236045","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","19-May-2026","C RAJA REDDY","Payment Success","4704726"
"1529","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/201837","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","24-Jun-2026","TOMY THOMAS","Payment Success","299408"
"1530","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/286148","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","211200"
"1531","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/288250","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","96000"
"1532","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Aug-2026","Shree Guru Nanak Cement Store","Payment Success","32460"
"1533","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/286150","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","90100"
"1534","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","14940"
"1535","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","40500"
"1536","Punjab","Construction of footpaths and pedestrian ways","WS/MP235/2025-2026/274834","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-May-2026","Shree Guru Nanak Cement Store","Payment Success","238275"
"1537","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2026-2027/277167","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-May-2026","Shree Guru Nanak Cement Store","Payment Success","313275"
"1538","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/277166","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","40950"
"1539","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/277166","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","40500"
"1540","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299126","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Shree Guru Nanak Cement Store","Payment Success","183000"
"1541","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290366","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-Jul-2026","Shree Guru Nanak Cement Store","Payment Success","96000"
"1542","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shree Guru Nanak Cement Store","Payment Success","15600"
"1543","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shree Guru Nanak Cement Store","Payment Success","38250"
"1544","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277163","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","15-May-2026","Shree Guru Nanak Cement Store","Payment Success","48100"
